date,running_total
Mon Feb 01 2016 21:52:38 GMT-0800 (PST),264
Mon Feb 01 2016 21:52:39 GMT-0800 (PST),265
Mon Feb 01 2016 21:52:43 GMT-0800 (PST),266
Mon Feb 01 2016 21:52:46 GMT-0800 (PST),267
Mon Feb 01 2016 21:52:47 GMT-0800 (PST),268
Mon Feb 01 2016 21:52:49 GMT-0800 (PST),269
Mon Feb 01 2016 21:52:49 GMT-0800 (PST),270
Mon Feb 01 2016 21:52:51 GMT-0800 (PST),271
Mon Feb 01 2016 21:52:52 GMT-0800 (PST),272
Mon Feb 01 2016 21:53:01 GMT-0800 (PST),273
Mon Feb 01 2016 21:53:23 GMT-0800 (PST),274
Mon Feb 01 2016 21:53:24 GMT-0800 (PST),275
Mon Feb 01 2016 21:53:24 GMT-0800 (PST),276
Mon Feb 01 2016 21:53:26 GMT-0800 (PST),277
Mon Feb 01 2016 21:53:27 GMT-0800 (PST),278
Mon Feb 01 2016 21:53:27 GMT-0800 (PST),279
Mon Feb 01 2016 21:53:29 GMT-0800 (PST),280
Mon Feb 01 2016 21:53:30 GMT-0800 (PST),281
Mon Feb 01 2016 21:53:31 GMT-0800 (PST),282
Mon Feb 01 2016 21:53:32 GMT-0800 (PST),283
Mon Feb 01 2016 21:53:54 GMT-0800 (PST),284
Mon Feb 01 2016 21:53:56 GMT-0800 (PST),285
Mon Feb 01 2016 21:53:57 GMT-0800 (PST),286
Mon Feb 01 2016 21:53:58 GMT-0800 (PST),287
Mon Feb 01 2016 22:07:09 GMT-0800 (PST),288
Tue Feb 02 2016 09:31:03 GMT-0800 (PST),289
Tue Feb 02 2016 10:03:51 GMT-0800 (PST),290
Tue Feb 02 2016 10:52:04 GMT-0800 (PST),291
Tue Feb 02 2016 11:48:41 GMT-0800 (PST),292
Tue Feb 02 2016 11:49:13 GMT-0800 (PST),293
Tue Feb 02 2016 17:47:10 GMT-0800 (PST),294
Tue Feb 02 2016 22:15:10 GMT-0800 (PST),295
Tue Feb 02 2016 22:15:11 GMT-0800 (PST),296
Tue Feb 02 2016 22:15:13 GMT-0800 (PST),297
Tue Feb 02 2016 22:15:14 GMT-0800 (PST),298
Thu Feb 04 2016 10:41:05 GMT-0800 (PST),299
Thu Feb 04 2016 10:52:31 GMT-0800 (PST),300
Fri Feb 05 2016 10:47:36 GMT-0800 (PST),301
Fri Feb 05 2016 13:56:17 GMT-0800 (PST),302
Sat Feb 06 2016 16:39:12 GMT-0800 (PST),303
Sat Feb 06 2016 16:39:14 GMT-0800 (PST),304
Sat Feb 06 2016 17:09:42 GMT-0800 (PST),307
Sat Feb 06 2016 18:21:13 GMT-0800 (PST),308
Sat Feb 06 2016 21:56:53 GMT-0800 (PST),328
Sat Feb 06 2016 22:07:34 GMT-0800 (PST),329
Sat Feb 06 2016 22:25:27 GMT-0800 (PST),330
Sun Feb 07 2016 00:29:18 GMT-0800 (PST),331
Sun Feb 07 2016 00:35:57 GMT-0800 (PST),332
Sun Feb 07 2016 00:50:56 GMT-0800 (PST),333
Sun Feb 07 2016 01:21:07 GMT-0800 (PST),334
Sun Feb 07 2016 01:27:47 GMT-0800 (PST),335
Sun Feb 07 2016 07:30:45 GMT-0800 (PST),336
Sun Feb 07 2016 09:24:11 GMT-0800 (PST),337
Sun Feb 07 2016 09:24:12 GMT-0800 (PST),338
Sun Feb 07 2016 10:09:29 GMT-0800 (PST),339
Sun Feb 07 2016 11:10:59 GMT-0800 (PST),340
Sun Feb 07 2016 11:20:12 GMT-0800 (PST),341
Sun Feb 07 2016 11:22:08 GMT-0800 (PST),344
Sun Feb 07 2016 11:22:11 GMT-0800 (PST),345
Sun Feb 07 2016 11:26:15 GMT-0800 (PST),346
Sun Feb 07 2016 11:26:15 GMT-0800 (PST),349
Sun Feb 07 2016 11:27:26 GMT-0800 (PST),350
Sun Feb 07 2016 11:27:26 GMT-0800 (PST),353
Sun Feb 07 2016 11:55:59 GMT-0800 (PST),354
Sun Feb 07 2016 11:57:17 GMT-0800 (PST),355
Sun Feb 07 2016 14:52:20 GMT-0800 (PST),356
Sun Feb 07 2016 16:51:19 GMT-0800 (PST),357
Sun Feb 07 2016 17:06:25 GMT-0800 (PST),358
Sun Feb 07 2016 17:07:57 GMT-0800 (PST),359
Sun Feb 07 2016 17:31:50 GMT-0800 (PST),360
Sun Feb 07 2016 17:33:49 GMT-0800 (PST),361
Sun Feb 07 2016 18:21:25 GMT-0800 (PST),362
Sun Feb 07 2016 18:22:13 GMT-0800 (PST),363
Sun Feb 07 2016 18:22:14 GMT-0800 (PST),364
Sun Feb 07 2016 18:31:51 GMT-0800 (PST),365
Sun Feb 07 2016 19:12:45 GMT-0800 (PST),366
Sun Feb 07 2016 19:13:16 GMT-0800 (PST),369
Sun Feb 07 2016 19:14:02 GMT-0800 (PST),370
Sun Feb 07 2016 19:14:02 GMT-0800 (PST),373
Sun Feb 07 2016 19:14:14 GMT-0800 (PST),374
Sun Feb 07 2016 19:27:41 GMT-0800 (PST),375
Sun Feb 07 2016 19:27:57 GMT-0800 (PST),376
Sun Feb 07 2016 20:33:23 GMT-0800 (PST),377
Sun Feb 07 2016 20:55:23 GMT-0800 (PST),378
Sun Feb 07 2016 21:07:37 GMT-0800 (PST),379
Sun Feb 07 2016 21:26:39 GMT-0800 (PST),380
Sun Feb 07 2016 22:13:55 GMT-0800 (PST),381
Sun Feb 07 2016 22:16:19 GMT-0800 (PST),382
